한달내의 시기,계절,주말여부,화재발생시간대,시군구명,발화지점,날씨,온도,습도,시간단위풍속,특보내용,발화원인종합,출동소요시간,현장소방서거리,현장안전센터거리,전체인력수합계,화재진압시간,동원장비수,피해면적
월중순,봄,0,9~12,원주시,산중턱,구름많음,11,46,315,특보_강풍,기계/전기/화학 요인,1641,28,26,174,21950,24,2.2
월말,봄,1,0~3,횡성군,산아래,맑음,18,32,225,,인간의 부주의,658,17,17,76,1936,12,0.05
월초,봄,0,0~3,홍천군,산아래,맑음,18,43,225,,미상,755,32,32,110,5047,16,0.1
월초,봄,1,0~3,삼척시,산아래,맑음,13,35,270,특보_강풍,기계/전기/화학 요인,1238,17,9,313,51938,51,0.5
월초,봄,1,3~6,횡성군,산아래,맑음,2,81,45,특보_풍랑,인간의 부주의,1140,12,6,46,12436,12,0.08
월초,봄,1,3~6,춘천시,산아래,맑음,15,14,315,,인간의 부주의,1843,20,18,133,44232,20,0.3
월초,봄,0,0~3,원주시,산아래,맑음,10,23,315,특보_건조,인간의 부주의,1032,8,9,96,12614,19,1.5
월초,봄,0,9~12,원주시,산아래,맑음,11,38,90,,인간의 부주의,1012,23,6,124,20927,23,0.5
월초,봄,0,9~12,평창군,산아래,맑음,7,30,45,,인간의 부주의,1223,46,7,128,12722,23,0.3
월중순,봄,1,0~3,횡성군,산정상,맑음,15,32,270,,인간의 부주의,622,15,3,51,4600,8,0.01
월중순,봄,0,3~6,철원군,산아래,맑음,21,0,180,,미상,2048,14,15,395,193403,27,19.0
월중순,봄,0,0~3,평창군,산아래,맑음,18,39,90,,미상,2008,19,15,206,11931,17,0.2
월말,봄,0,0~3,강릉시,산아래,맑음,7,37,225,,기계/전기/화학 요인,1734,16,15,196,4528,14,0.3
월말,봄,0,0~3,인제군,산아래,흐림,6,37,225,,인간의 부주의,1301,18,14,137,20412,15,0.2
월말,봄,0,9~12,철원군,산중턱,맑음,13,41,135,특보_건조,미상,4059,5,5,112,33143,14,0.6
월말,봄,0,0~3,춘천시,산아래,맑음,15,26,315,,미상,4009,39,21,0,34931,0,1.0
월말,봄,1,0~3,춘천시,산정상,맑음,18,24,315,,미상,1145,7,7,69,22014,13,0.01
월말,봄,0,9~12,횡성군,산정상,비,14,49,180,,인간의 부주의,917,9,5,64,10141,11,0.02
월말,봄,0,0~3,홍천군,산정상,맑음,23,33,225,특보_건조,미상,1703,25,9,133,21403,15,0.2
월말,봄,0,3~6,원주시,산정상,맑음,24,43,270,,인간의 부주의,2549,32,17,57,4951,15,0.01
월초,봄,0,0~3,춘천시,산중턱,맑음,27,45,225,,인간의 부주의,2955,18,18,77,13935,6,0.2
월초,봄,0,0~3,홍천군,산정상,맑음,28,37,225,,인간의 부주의,1304,14,14,112,50423,13,0.01
월초,봄,0,9~12,철원군,산아래,맑음,21,42,135,,인간의 부주의,1103,18,10,71,14122,21,0.06
월초,봄,0,0~3,홍천군,산아래,맑음,27,11,270,,인간의 부주의,937,9,9,22,3017,6,0.03
월초,여름,0,0~3,춘천시,산정상,맑음,32,45,270,,미상,4023,59,59,49,21904,10,0.1
월말,여름,0,9~12,홍천군,산정상,맑음,28,59,270,,미상,711,10,10,133,10836,15,0.15
월초,가을,0,0~3,춘천시,산정상,맑음,18,41,225,,인간의 부주의,2732,30,21,61,12001,18,0.01
월초,가을,0,3~6,홍천군,산중턱,맑음,18,56,45,특보_풍랑,인간의 부주의,449,33,3,51,70306,7,0.05
월중순,가을,1,6~9,홍천군,산중턱,맑음,8,94,180,,미상,1124,16,16,45,51238,11,0.01
월중순,가을,0,0~3,홍천군,산중턱,맑음,18,51,225,,미상,1352,17,17,86,20424,12,0.01
월중순,가을,1,0~3,홍천군,산정상,맑음,18,42,270,,미상,1828,16,16,38,31356,7,0.01
월초,가을,0,9~12,철원군,산중턱,맑음,6,23,270,,인간의 부주의,537,13,2,105,5458,9,0.01
월초,가을,1,0~3,동해시,산아래,맑음,9,41,225,특보_건조,인간의 부주의,1955,14,10,123,15307,59,0.11
월중순,가을,0,9~12,홍천군,산정상,맑음,13,59,225,,인간의 부주의,748,8,8,0,110345,0,0.1
월초,겨울,0,6~9,횡성군,산아래,맑음,-1,50,225,,기계/전기/화학 요인,1653,17,8,104,12942,10,0.1
월초,겨울,0,6~9,홍천군,산아래,맑음,-3,50,180,,인간의 부주의,303,6,6,84,15920,12,0.02
월중순,겨울,1,9~12,원주시,산중턱,맑음,3,42,315,,인간의 부주의,2226,24,11,53,10302,13,0.5
월중순,겨울,1,0~3,원주시,산중턱,맑음,5,30,315,,인간의 부주의,435,27,11,61,34514,11,0.05
월말,겨울,0,0~3,영월군,산중턱,맑음,-5,47,225,,인간의 부주의,511,3,3,118,54728,13,0.3
월중순,겨울,0,9~12,홍천군,산정상,맑음,-8,59,270,,인간의 부주의,3553,28,28,48,24740,3,0.15
월중순,겨울,1,15~18,동해시,산중턱,맑음,0,17,315,,인간의 부주의,1017,8,8,275,21235,24,1.0
월말,겨울,1,15~18,홍천군,산아래,맑음,7,62,180,,기계/전기/화학 요인,1015,9,9,17,32655,3,0.7
월초,겨울,0,12~15,홍천군,산정상,맑음,6,70,135,,인간의 부주의,1756,23,23,41,11835,3,0.01
월말,겨울,0,12~15,화천군,산아래,맑음,13,39,270,특보_건조,미상,658,21,21,81,4716,14,0.1
월말,겨울,0,12~15,홍천군,산정상,맑음,10,35,90,,미상,2807,20,0,106,35402,10,0.1
월말,봄,0,15~18,홍천군,산중턱,맑음,16,25,315,,인간의 부주의,136,13,13,310,84243,33,20.0
월말,봄,0,15~18,정선군,산아래,맑음,21,8,225,특보_건조,인간의 부주의,2000,32,15,302,205045,186,10.7
월말,봄,0,15~18,양구군,미상,맑음,20,13,315,,미상,1602,12,12,98,174355,15,0.5
월중순,봄,1,6~9,홍천군,산아래,맑음,9,62,225,,인간의 부주의,1124,10,10,54,2859,12,0.01
월중순,봄,1,9~12,평창군,산정상,맑음,14,29,180,,미상,2145,42,16,53,10448,7,0.01
월중순,봄,0,15~18,횡성군,산중턱,맑음,19,30,135,,인간의 부주의,2535,11,6,151,31727,17,1.5
월중순,봄,0,15~18,홍천군,산아래,맑음,25,22,315,,인간의 부주의,2416,17,12,64,10442,21,0.3
월말,봄,0,9~12,평창군,산중턱,맑음,24,29,315,,인간의 부주의,1012,56,7,177,21838,22,1.0
월말,봄,0,12~15,철원군,산중턱,맑음,25,31,90,,인간의 부주의,858,13,7,52,3855,16,0.02
월말,봄,1,9~12,평창군,산아래,맑음,13,41,135,,인간의 부주의,1752,42,9,53,22638,7,0.09
월말,봄,1,12~15,원주시,산중턱,맑음,20,31,225,,인간의 부주의,3809,24,7,126,22859,30,1.5
월초,봄,0,15~18,인제군,산아래,맑음,18,36,225,,인간의 부주의,1258,27,20,81,3832,15,0.1
월초,봄,0,21~24,삼척시,산아래,맑음,15,54,225,,미상,1330,26,22,110,11649,22,0.01
월초,봄,0,9~12,삼척시,산중턱,맑음,17,46,225,특보_풍랑,인간의 부주의,1206,39,8,248,20940,31,0.2
월초,봄,1,9~12,횡성군,산정상,맑음,15,59,225,특보_풍랑,인간의 부주의,1615,38,25,95,12506,15,0.01
월초,봄,1,12~15,홍천군,산아래,맑음,21,24,315,,인간의 부주의,905,21,7,81,2715,14,0.2
월초,봄,1,12~15,철원군,산중턱,맑음,19,26,315,,인간의 부주의,801,16,7,60,2915,12,0.03
월초,봄,1,15~18,철원군,산정상,맑음,18,22,270,,인간의 부주의,347,12,1,67,4529,13,0.01
월중순,봄,0,15~18,태백시,산중턱,맑음,23,43,45,,기계/전기/화학 요인,2121,20,17,144,43459,18,1.2
월초,여름,0,15~18,강릉시,산중턱,맑음,25,62,225,,인간의 부주의,1344,21,6,50,12539,11,0.01
월초,여름,0,12~15,홍천군,산정상,맑음,18,78,45,,자연적 요인,935,26,0,48,12515,6,0.04
